Flag	Index	Class	DBE	Neutral DBE	Formula	Adduct	Exp m/z	Mono Abund	Total Abund	Calc m/z	mDa Error	ppm Error	Kendrick m/z	KMD	Z Number	#C	#H	#N	#O	#S	H/C	N/C	O/C	S/C
+	 1 	HC	 17.0 	 17.0 	C22H12		 276.093411 	 3312960000.00 	 3994092168.00 	 276.093352 	 0.0592 	 0.2144 	 275.7851 	 0.2149 	 -32 	 22 	 12 	 0 	 0 	 0 	 0.5455 	 0.0000 	 0.0000 	 0.0000 
+	 2 	HC	 17.0 	 17.0 	C23H14		 290.109105 	 661957888.00 	 761247744.00 	 290.109002 	 -0.1031 	 -0.3555 	 289.7852 	 0.2148 	 -32 	 23 	 14 	 0 	 0 	 0 	 0.6087 	 0.0000 	 0.0000 	 0.0000 
+	 3 	HC	 17.0 	 17.0 	C24H16		 304.124697 	 516656384.00 	 610801544.00 	 304.124652 	 -0.0451 	 -0.1482 	 303.7851 	 0.2149 	 -32 	 24 	 16 	 0 	 0 	 0 	 0.6667 	 0.0000 	 0.0000 	 0.0000 
+	 4 	HC	 17.0 	 17.0 	C25H18		 318.140300 	 182021392.00 	 182021392.00 	 318.140302 	 0.0020 	 0.0063 	 317.7851 	 0.2149 	 -32 	 25 	 18 	 0 	 0 	 0 	 0.7200 	 0.0000 	 0.0000 	 0.0000 
+	 5 	HC	 17.0 	 17.0 	C26H20		 332.155948 	 68991224.00 	 68991224.00 	 332.155952 	 0.0041 	 0.0122 	 331.7851 	 0.2149 	 -32 	 26 	 20 	 0 	 0 	 0 	 0.7692 	 0.0000 	 0.0000 	 0.0000 
+	 6 	HC	 19.0 	 19.0 	C24H12		 300.093387 	 994809536.00 	 1145187088.00 	 300.093352 	 -0.0352 	 -0.1173 	 299.7583 	 0.2417 	 -36 	 24 	 12 	 0 	 0 	 0 	 0.5000 	 0.0000 	 0.0000 	 0.0000 
+	 7 	HC	 19.0 	 19.0 	C25H14		 314.108986 	 540636544.00 	 623634656.00 	 314.109002 	 0.0159 	 0.0505 	 313.7582 	 0.2418 	 -36 	 25 	 14 	 0 	 0 	 0 	 0.5600 	 0.0000 	 0.0000 	 0.0000 
+	 8 	HC	 19.0 	 19.0 	C26H16		 328.124638 	 864640256.00 	 1050589392.00 	 328.124652 	 0.0139 	 0.0425 	 327.7582 	 0.2418 	 -36 	 26 	 16 	 0 	 0 	 0 	 0.6154 	 0.0000 	 0.0000 	 0.0000 
+	 9 	HC	 19.0 	 19.0 	C27H18		 342.140265 	 119002480.00 	 119002480.00 	 342.140302 	 0.0370 	 0.1081 	 341.7582 	 0.2418 	 -36 	 27 	 18 	 0 	 0 	 0 	 0.6667 	 0.0000 	 0.0000 	 0.0000 
+	 10 	HC	 19.0 	 19.0 	C28H20		 356.156137 	 78584896.00 	 78584896.00 	 356.155952 	 -0.1849 	 -0.5193 	 355.7584 	 0.2416 	 -36 	 28 	 20 	 0 	 0 	 0 	 0.7143 	 0.0000 	 0.0000 	 0.0000 
+	 11 	HC	 21.0 	 21.0 	C26H12		 324.093481 	 127722096.00 	 127722096.00 	 324.093352 	 -0.1292 	 -0.3986 	 323.7316 	 0.2684 	 -40 	 26 	 12 	 0 	 0 	 0 	 0.4615 	 0.0000 	 0.0000 	 0.0000 
+	 12 	HC	 21.0 	 21.0 	C27H14		 338.109061 	 255546848.00 	 313494408.00 	 338.109002 	 -0.0591 	 -0.1749 	 337.7315 	 0.2685 	 -40 	 27 	 14 	 0 	 0 	 0 	 0.5185 	 0.0000 	 0.0000 	 0.0000 
+	 13 	HC	 21.0 	 21.0 	C28H16		 352.124807 	 1034639680.00 	 1260794656.00 	 352.124652 	 -0.1551 	 -0.4404 	 351.7316 	 0.2684 	 -40 	 28 	 16 	 0 	 0 	 0 	 0.5714 	 0.0000 	 0.0000 	 0.0000 
+	 14 	HC	 21.0 	 21.0 	C29H18		 366.140379 	 136832688.00 	 136832688.00 	 366.140302 	 -0.0770 	 -0.2103 	 365.7315 	 0.2685 	 -40 	 29 	 18 	 0 	 0 	 0 	 0.6207 	 0.0000 	 0.0000 	 0.0000 
+	 15 	HC	 21.0 	 21.0 	C30H20		 380.155963 	 81492152.00 	 81492152.00 	 380.155952 	 -0.0109 	 -0.0288 	 379.7315 	 0.2685 	 -40 	 30 	 20 	 0 	 0 	 0 	 0.6667 	 0.0000 	 0.0000 	 0.0000 
+	 16 	HC	 13.5 	 14.0 	C18H10	H	 227.085523 	 1828009856.00 	 2067248256.00 	 227.085527 	 0.0038 	 0.0166 	 226.8320 	 0.1680 	 -26 	 18 	 10 	 0 	 0 	 0 	 0.5556 	 0.0000 	 0.0000 	 0.0000 
+	 17 	HC	 13.5 	 14.0 	C19H12	H	 241.101188 	 520224288.00 	 579127472.00 	 241.101177 	 -0.0112 	 -0.0463 	 240.8320 	 0.1680 	 -26 	 19 	 12 	 0 	 0 	 0 	 0.6316 	 0.0000 	 0.0000 	 0.0000 
+	 18 	HC	 13.5 	 14.0 	C20H14	H	 255.116854 	 349647168.00 	 406312208.00 	 255.116827 	 -0.0271 	 -0.1062 	 254.8320 	 0.1680 	 -26 	 20 	 14 	 0 	 0 	 0 	 0.7000 	 0.0000 	 0.0000 	 0.0000 
